Rank	TokenID	Rarity Score
524	1031	2.593673051286772
525	2584	2.5924455970438207
526	4610	2.5907658547478354
527	1022	2.589769524169453
528	1396	2.589536798278728
529	962	2.5890220130471855
530	1481	2.5889514185468476
531	656	2.588087218263972
532	4141	2.5879284778433136
533	3025	2.5876670955882353
534	239	2.5865822398726377
535	629	2.5862873888549034
536	160	2.5857755490585883
537	4296	2.5841993281075024
538	79	2.5837543613336056
539	3020	2.582739097720732
540	2284	2.5824414736175405
541	3809	2.5820250332744843
542	796	2.5815866403666177
543	1853	2.5813265388727227
544	2508	2.581183994170152
545	53	2.580371402634359
546	466	2.580345193067992
547	3294	2.5790232305310843
548	4317	2.5782609525404228
549	541	2.577600986123756
550	4549	2.5773993808049536
551	955	2.5766229116056696
552	76	2.5753955813995693
553	3033	2.57466092151464
554	3617	2.574462123274143
555	758	2.574459960915386
556	1085	2.5741532453126816
557	4242	2.5740457004175967
558	2824	2.573965734265216
559	108	2.573841232351108
560	2262	2.5735548109809714
561	2110	2.5724069529026807
562	357	2.572021498896805
563	3604	2.5718026034500903
564	4520	2.5716816936261018
565	4584	2.5714758932344863
566	57	2.571301918483833
567	4307	2.570636709132162
568	1160	2.5695556821220187
569	4055	2.5689665304036784
570	2403	2.5687606305224597
571	4127	2.5686561857512475
572	85	2.56862116351601
573	2685	2.568602751179283
574	1304	2.567974837916612
575	3518	2.567446818093415
576	3451	2.5671813371367946
577	3699	2.5666293667080717
578	142	2.5666265725048216
579	4671	2.5661745325123055
580	1605	2.5661048351676747
581	712	2.5652530212681293
582	650	2.5649407947562906
583	4224	2.5643260302110256
584	4567	2.564313540212914
585	4343	2.5642808541979503
586	4497	2.5639879130966947
587	4352	2.5635695418944278
588	3005	2.5624114325795433
589	152	2.5617261831183655
590	3741	2.56144511068426
591	1936	2.5614317708722107
592	2575	2.5605123301421617
593	1881	2.5594704964852046
594	1203	2.557896550149362
595	1510	2.5574297630579768
596	335	2.556924461606219
597	1027	2.555263338807828
598	2415	2.5539734888990187
599	3437	2.5531763670092364
600	2181	2.5531373052449364
601	4240	2.552466313431002
602	3023	2.5503949676297184
603	1866	2.5496622256386083
604	749	2.5494388330182045
605	1239	2.5492850597289554
606	563	2.5479080725605336
607	739	2.547624433897795
608	2578	2.5475710925262023
609	4035	2.546142408518238
610	1758	2.545854963718825
611	2158	2.545604844846511
612	4502	2.5452777406509934
613	199	2.544849874692925
614	3360	2.5437246751800884
615	915	2.5435052940084972
616	1693	2.543047743904852
617	1722	2.5419451840503915
618	1359	2.5418787730805947
619	3512	2.5418787730805947
620	2311	2.541378507187838
621	2875	2.541271255758398
622	2205	2.5411619509980414
623	4321	2.540465491737079
624	2312	2.5404523405244688
625	500	2.5398936857257217
626	2285	2.5387973341155656
627	4249	2.538774288036262
628	4107	2.5386599243400028
629	1622	2.5384950789611556
630	4625	2.5383072719199418
631	1968	2.5382792761122204
632	4499	2.5381229046387332
633	1992	2.5379092645559354
634	141	2.5371723901759107
635	2235	2.537005600896802
636	3685	2.5361995226928067
637	3165	2.535867769940909
638	3356	2.5347890625447715
639	4507	2.5343884894407185
640	1143	2.534117007331288
641	3780	2.5322266495926717
642	3192	2.531641080270312
643	3029	2.531575328505659
644	3632	2.531523850464299
645	792	2.530928020077162
646	1462	2.529080935712456
647	1154	2.5285683600840896
648	2396	2.5284437132400406
649	2265	2.5282059115900823
650	1832	2.528130740084075
651	3083	2.528130740084075
652	2942	2.527490848991181
653	225	2.5268799947856717
654	2801	2.526366545151106
655	2888	2.525922843272496
656	4492	2.524151041546129
657	856	2.5239803860249537
658	1319	2.52390885827523
659	1340	2.522124189415782
660	2095	2.5210137333787963
661	3238	2.5209186282997607
662	3062	2.520736577075654
663	3720	2.5202485822985126
664	1283	2.519666994647877
665	4138	2.5194537001279427
666	2555	2.5188333000368184
667	1499	2.518694611617371
668	3993	2.518193578681905
669	349	2.517714136158117
670	4740	2.5175545680483107
671	3395	2.5174794854629963
672	1461	2.5169252797424764
673	676	2.516901410042367
674	1512	2.516901410042367
675	3210	2.5155465982213707
676	2712	2.5150487612094317
677	4655	2.5142771020435983
678	3331	2.5142424985887812
679	1394	2.5139030354323415
680	3036	2.5136551078204965
681	1484	2.513409799403633
682	1661	2.513409799403633
683	3295	2.5133034724455174
684	2122	2.512839887381623
685	3283	2.5122075805452084
686	4227	2.5120664679025877
687	3949	2.511761573754959
688	2886	2.5113946807757364
689	2161	2.5113144473805677
690	1657	2.510569407823934
691	2077	2.510033805266094
692	215	2.5087785123715194
693	3443	2.5087222061024237
694	3260	2.508413120815021
695	3046	2.50834542269678
696	4632	2.50796438859305
697	1492	2.5076001203025635
698	3677	2.507219482108037
699	3553	2.5065295749360073
700	1314	2.5064102198504146
701	3531	2.5063780929534882
702	2139	2.5063027428213323
703	2876	2.505719840540582
704	3019	2.505678294963089
705	183	2.5045365827463217
706	2598	2.5027194887845434
707	132	2.5026872931671487
708	670	2.5020325598093063
709	2695	2.5020190810689544
710	1761	2.501397509723994
711	4109	2.50090477351436
712	380	2.5006129111678392
713	309	2.5004513524159657
714	66	2.4996433522470167
715	3887	2.4996315089264076
716	2381	2.499343109367471
717	4231	2.4992093652545955
718	3976	2.498607828636678
719	249	2.4983505456054886
720	3627	2.4981259223252805
721	3544	2.497440448513895
722	816	2.497332876614722
723	2878	2.49627254161318
724	4765	2.495866739879524
725	1906	2.4950858060409074
726	1008	2.494834310880376
727	3550	2.494349971080166
728	2671	2.494339257882687
729	3856	2.4935010255840515
730	965	2.4933163481117107
731	4351	2.493101751666137
732	4404	2.492439938328482
733	1554	2.4923592768418046
734	236	2.4920222835371657
735	4359	2.4918923863293334
736	4111	2.4917693885783856
737	3412	2.4910156869351514
738	3623	2.4908647086990534
739	4360	2.490259307827714
740	3079	2.4891055441044134
741	3578	2.4889074359305985
742	709	2.4888191387308964
743	904	2.4887800672892726
744	4745	2.488686508538456
745	2453	2.488681290468621
746	354	2.4883814595076994
747	3549	2.488240089466805
748	3514	2.488234718720111
749	1466	2.487970661207661
750	4790	2.486875494657697
